year,time_period,time_identifier,geographic_level,country_code,country,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_a_grade_achieved,perc_b_grade_achieved,perc_c_grade_achieved,perc_d_grade_achieved,perc_e_grade_achieved,other,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
1996,199596,Academic year,National,E92000001,England,Final,Media film tv,All students,NA,9.7,17.2,30.1,24.6,11.4,7,10,27,57,82,93,6841
1996,199596,Academic year,National,E92000001,England,Final,Media film tv,Female,NA,10,18.6,30.5,24.1,10.9,6,10,29,59,83,94,3814
1996,199596,Academic year,National,E92000001,England,Final,Media film tv,Male,NA,9.4,15.4,29.5,25.3,12.1,8.2,9,25,54,80,92,3027
1996,199596,Academic year,National,E92000001,England,Final,Law,All students,NA,10.6,11.7,15.5,17.6,15,29.6,11,22,38,55,70,7017
1996,199596,Academic year,National,E92000001,England,Final,Law,Female,NA,11.6,12,16.7,17.6,14.8,27.4,12,24,40,58,73,4118
1996,199596,Academic year,National,E92000001,England,Final,Law,Male,NA,9.2,11.3,13.8,17.6,15.4,32.7,9,20,34,52,67,2899
1996,199596,Academic year,National,E92000001,England,Final,Home economics,All students,NA,12.1,15.8,20.9,20.4,15.1,15.9,12,28,49,69,84,2023
1996,199596,Academic year,National,E92000001,England,Final,Home economics,Female,NA,12.4,16.1,20.9,20.7,14.6,15.2,12,28,49,70,85,1905
1996,199596,Academic year,National,E92000001,England,Final,Home economics,Male,NA,5.9,10.2,19.5,15.3,22.9,26.3,6,16,36,51,74,118
1996,199596,Academic year,National,E92000001,England,Final,History,All students,NA,15,17.2,20.7,19.1,14,14.1,15,32,53,72,86,36294
1996,199596,Academic year,National,E92000001,England,Final,History,Female,NA,14.9,16.9,20.4,18.9,14.2,14.7,15,32,52,71,85,19975
1996,199596,Academic year,National,E92000001,England,Final,History,Male,NA,15.1,17.5,21.2,19.3,13.6,13.3,15,33,54,73,87,16319
1996,199596,Academic year,National,E92000001,England,Final,Government and politics,All students,NA,15.6,21.6,20,17.7,12.5,12.6,16,37,57,75,87,8671
1996,199596,Academic year,National,E92000001,England,Final,Government and politics,Female,NA,16.3,21.9,20,17.1,12.3,12.5,16,38,58,75,88,3580
1996,199596,Academic year,National,E92000001,England,Final,Government and politics,Male,NA,15.1,21.4,20,18.1,12.7,12.7,15,36,56,75,87,5091
1996,199596,Academic year,National,E92000001,England,Final,German,All students,NA,22.8,18,18.6,17,12.7,10.9,23,41,59,76,89,9306
1996,199596,Academic year,National,E92000001,England,Final,German,Female,NA,21.5,18.1,18.8,17.5,13.1,11.1,22,40,58,76,89,6451
1996,199596,Academic year,National,E92000001,England,Final,German,Male,NA,26,17.7,18.1,15.7,11.9,10.6,26,44,62,78,89,2855
1996,199596,Academic year,National,E92000001,England,Final,Geography,All students,NA,14,17.7,18.7,18.6,13.8,17.2,14,32,50,69,83,37162
1996,199596,Academic year,National,E92000001,England,Final,Geography,Female,NA,16.1,19.3,18.4,17.5,12.7,16,16,35,54,71,84,16664
1996,199596,Academic year,National,E92000001,England,Final,Geography,Male,NA,12.2,16.3,19,19.5,14.7,18.2,12,29,48,67,82,20498
1996,199596,Academic year,National,E92000001,England,Final,General studies,All students,NA,13.9,16.2,19.1,19.3,15,16.5,14,30,49,68,84,62020
1996,199596,Academic year,National,E92000001,England,Final,General studies,Female,NA,12.6,15.3,18.9,19.5,15.6,18.1,13,28,47,66,82,31326
1996,199596,Academic year,National,E92000001,England,Final,General studies,Male,NA,15.3,17,19.3,19.1,14.4,14.9,15,32,52,71,85,30694
1996,199596,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,46.1,20.9,13.6,8.9,5.6,5,46,67,81,90,95,4913
1996,199596,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,46.7,21.3,14.8,8.1,5,4.1,47,68,83,91,96,1231
1996,199596,Academic year,National,E92000001,England,Final,Further mathematics,Male,NA,45.9,20.7,13.1,9.2,5.7,5.4,46,67,80,89,95,3682
1996,199596,Academic year,National,E92000001,England,Final,French,All students,NA,20.6,17.6,20,17.1,12.8,11.9,21,38,58,75,88,22718
1996,199596,Academic year,National,E92000001,England,Final,French,Female,NA,20,17.4,20,17.1,13,12.6,20,37,57,74,87,15859
1996,199596,Academic year,National,E92000001,England,Final,French,Male,NA,22,18,20.3,17.2,12.2,10.3,22,40,60,77,90,6859
1996,199596,Academic year,National,E92000001,England,Final,Economics,All students,NA,15.7,16,18,17.3,14.6,18.4,16,32,50,67,82,20751
1996,199596,Academic year,National,E92000001,England,Final,Economics,Female,NA,14.4,15.4,18.1,17.2,15,19.9,14,30,48,65,80,7070
1996,199596,Academic year,National,E92000001,England,Final,Economics,Male,NA,16.4,16.2,18,17.4,14.4,17.6,16,33,51,68,82,13681
1996,199596,Academic year,National,E92000001,England,Final,Drama,All students,NA,11.2,15.2,20.1,20.2,16.9,16.3,11,26,46,67,84,7897
1996,199596,Academic year,National,E92000001,England,Final,Drama,Female,NA,12,16,20.8,20.4,16.3,14.4,12,28,49,69,85,5820
1996,199596,Academic year,National,E92000001,England,Final,Drama,Male,NA,8.9,13,18.1,19.5,18.7,21.8,9,22,40,60,78,2077
1996,199596,Academic year,National,E92000001,England,Final,Design & technology,All students,NA,12.4,14.2,23.6,22.5,14.7,12.6,12,27,50,73,87,8986
1996,199596,Academic year,National,E92000001,England,Final,Design & technology,Female,NA,15,17.5,25,21.6,13.1,7.7,15,32,58,79,92,1797
1996,199596,Academic year,National,E92000001,England,Final,Design & technology,Male,NA,11.8,13.4,23.2,22.7,15.1,13.8,12,25,48,71,86,7189
1996,199596,Academic year,National,E92000001,England,Final,Computer science,All students,NA,10.4,12.2,17.3,18.7,16.9,24.5,10,23,40,59,75,8550
1996,199596,Academic year,National,E92000001,England,Final,Computer science,Female,NA,5.5,11.7,15.1,21.5,19.7,26.5,6,17,32,54,74,1266
1996,199596,Academic year,National,E92000001,England,Final,Computer science,Male,NA,11.3,12.3,17.7,18.2,16.4,24.1,11,24,41,60,76,7284
1996,199596,Academic year,National,E92000001,England,Final,Chemistry,All students,NA,20.3,21,18.5,14.9,11.8,13.6,20,41,60,75,87,34677
1996,199596,Academic year,National,E92000001,England,Final,Chemistry,Female,NA,20.6,21.5,19.1,14.9,11.3,12.6,21,42,61,76,87,15127
1996,199596,Academic year,National,E92000001,England,Final,Chemistry,Male,NA,20,20.6,18,14.8,12.1,14.4,20,41,59,73,86,19550
1996,199596,Academic year,National,E92000001,England,Final,Business studies,All students,NA,7.5,15.8,21.7,21.2,16.2,17.6,8,23,45,66,82,24721
1996,199596,Academic year,National,E92000001,England,Final,Business studies,Female,NA,7.5,15.8,21.4,20.9,16.1,18.3,8,23,45,66,82,11445
1996,199596,Academic year,National,E92000001,England,Final,Business studies,Male,NA,7.5,15.8,22,21.4,16.3,16.9,8,23,45,67,83,13276
1996,199596,Academic year,National,E92000001,England,Final,Biology,All students,NA,13.8,19.1,19.2,17.8,14.8,15.3,14,33,52,70,85,43398
1996,199596,Academic year,National,E92000001,England,Final,Biology,Female,NA,14.6,19.9,19.5,17.3,14.3,14.4,15,34,54,71,86,25643
1996,199596,Academic year,National,E92000001,England,Final,Biology,Male,NA,12.7,17.9,18.8,18.6,15.5,16.5,13,31,49,68,84,17755
1996,199596,Academic year,National,E92000001,England,Final,Art & design,All students,NA,19,19.4,23.3,18.5,11.5,8.4,19,38,62,80,92,29796
1996,199596,Academic year,National,E92000001,England,Final,Art & design,Female,NA,20.2,20.4,23.7,18.1,10.7,6.9,20,41,64,82,93,18052
1996,199596,Academic year,National,E92000001,England,Final,Art & design,Male,NA,17.2,17.8,22.5,19,12.8,10.7,17,35,57,76,89,11744
1996,199596,Academic year,National,E92000001,England,Final,Accounting and finance,All students,NA,9.4,15.3,11.7,13.8,12.1,37.7,9,25,36,50,62,2042
1996,199596,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,9.2,14.8,12,13.5,13.4,37.3,9,24,36,50,63,786
1996,199596,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,9.6,15.7,11.5,14,11.4,37.9,10,25,37,51,62,1256
1997,199697,Academic year,National,E92000001,England,Final,Total subjects,All students,NA,16.1,18.9,20.3,18.5,13.3,12.8,16,35,55,74,87,662163
1997,199697,Academic year,National,E92000001,England,Final,Total subjects,Female,NA,15.8,19.4,20.9,18.7,13.2,12.1,16,35,56,75,88,348913
1997,199697,Academic year,National,E92000001,England,Final,Total subjects,Male,NA,16.5,18.4,19.8,18.3,13.5,13.6,16,35,55,73,86,313250
1997,199697,Academic year,National,E92000001,England,Final,Total Music,All students,NA,19.7,20.5,23.1,18.6,10.7,7.3,20,40,63,82,93,5788
1997,199697,Academic year,National,E92000001,England,Final,Total Music,Female,NA,18.9,21.1,24.2,19.1,10.3,6.3,19,40,64,83,94,3455
1997,199697,Academic year,National,E92000001,England,Final,Total Music,Male,NA,20.9,19.7,21.5,17.9,11.1,8.8,21,41,62,80,91,2333
1997,199697,Academic year,National,E92000001,England,Final,Total Modern  languages,All students,NA,22,20,19,16,12,10,22,43,62,78,90,38149
1997,199697,Academic year,National,E92000001,England,Final,Total Modern  languages,Female,NA,21,20,20,17,12,10,21,41,61,78,90,26175
1997,199697,Academic year,National,E92000001,England,Final,Total Modern  languages,Male,NA,24,20,18,16,11,10,24,45,63,79,90,11974
1997,199697,Academic year,National,E92000001,England,Final,Total Maths,All students,NA,25.6,19.9,17.4,14.6,10.8,11.7,26,46,63,78,88,56050
1997,199697,Academic year,National,E92000001,England,Final,Total Maths,Female,NA,25.3,21.3,18.4,14.8,10.3,10,25,47,65,80,90,20036
1997,199697,Academic year,National,E92000001,England,Final,Total Maths,Male,NA,25.8,19.2,16.7,14.6,11,12.7,26,45,62,76,87,36014
1997,199697,Academic year,National,E92000001,England,Final,Total English,All students,NA,14.6,19,23,21.5,14,7.9,15,34,57,78,92,80659
1997,199697,Academic year,National,E92000001,England,Final,Total English,Female,NA,14.3,19.1,23.2,21.8,14.2,7.4,14,33,57,78,93,55711
1997,199697,Academic year,National,E92000001,England,Final,Total English,Male,NA,15.1,18.9,22.4,21,13.7,8.9,15,34,56,77,91,24948
1997,199697,Academic year,National,E92000001,England,Final,Total Classical studies,All students,NA,25.5,22.1,21.1,15.4,8.7,7.2,26,48,69,84,93,6095
1997,199697,Academic year,National,E92000001,England,Final,Total Classical studies,Female,NA,24.9,23.2,22.8,14.5,8,6.6,25,48,71,85,93,3546
1997,199697,Academic year,National,E92000001,England,Final,Total Classical studies,Male,NA,26.4,20.6,18.8,16.5,9.8,7.9,26,47,66,82,92,2549
1997,199697,Academic year,National,E92000001,England,Final,STEM subjects,All students,NA,21,20,18,16,12,13,21,41,59,75,87,183971
1997,199697,Academic year,National,E92000001,England,Final,STEM subjects,Female,NA,20,21,19,16,12,12,20,41,60,76,88,73255
1997,199697,Academic year,National,E92000001,England,Final,STEM subjects,Male,NA,21,19,18,16,12,14,21,41,58,74,86,110716
1997,199697,Academic year,National,E92000001,England,Final,Spanish,All students,NA,23.9,21.2,19,16.5,10,9.4,24,45,64,81,91,4328
1997,199697,Academic year,National,E92000001,England,Final,Spanish,Female,NA,22.4,19.9,19.4,17.4,10.7,10.3,22,42,62,79,90,3060
1997,199697,Academic year,National,E92000001,England,Final,Spanish,Male,NA,27.6,24.1,18.2,14.5,8.4,7.2,28,52,70,84,93,1268
1997,199697,Academic year,National,E92000001,England,Final,Sociology,All students,NA,11.9,17.1,16.4,16.4,14.7,23.6,12,29,45,62,76,22298
1997,199697,Academic year,National,E92000001,England,Final,Sociology,Female,NA,12.7,17.9,16.8,16.4,14.5,21.8,13,31,47,64,78,16937
1997,199697,Academic year,National,E92000001,England,Final,Sociology,Male,NA,9.2,14.6,15.1,16.6,15.4,29.1,9,24,39,56,71,5361
1997,199697,Academic year,National,E92000001,England,Final,Religious studies,All students,NA,14.9,18.3,24.4,20.9,12.2,9.3,15,33,58,78,91,6956
1997,199697,Academic year,National,E92000001,England,Final,Religious studies,Female,NA,13.8,18.1,24.8,21.4,12.8,9.2,14,32,57,78,91,5110
1997,199697,Academic year,National,E92000001,England,Final,Religious studies,Male,NA,18,18.8,23.2,19.3,10.8,9.9,18,37,60,79,90,1846
1997,199697,Academic year,National,E92000001,England,Final,Psychology,All students,NA,11.1,18,19.4,18.1,14,19.5,11,29,48,67,81,22262
1997,199697,Academic year,National,E92000001,England,Final,Psychology,Female,NA,12.3,19.6,19.8,18.3,13.2,16.9,12,32,52,70,83,16792
1997,199697,Academic year,National,E92000001,England,Final,Psychology,Male,NA,7.5,12.9,18,17.6,16.5,27.6,8,20,38,56,73,5470
1997,199697,Academic year,National,E92000001,England,Final,Physics,All students,NA,21.6,21.6,18.3,15.6,11.4,11.6,22,43,62,77,88,28777
1997,199697,Academic year,National,E92000001,England,Final,Physics,Female,NA,22.2,23.8,18.7,14.9,10.2,10.2,22,46,65,80,90,6147
1997,199697,Academic year,National,E92000001,England,Final,Physics,Male,NA,21.4,21,18.1,15.8,11.7,11.9,21,42,60,76,88,22630
1997,199697,Academic year,National,E92000001,England,Final,Physical education,All students,NA,8.2,14.2,21.9,25.7,18.4,11.6,8,22,44,70,88,11696
1997,199697,Academic year,National,E92000001,England,Final,Physical education,Female,NA,12.5,17.1,22.3,23.2,14.7,10.2,12,30,52,75,90,4448
1997,199697,Academic year,National,E92000001,England,Final,Physical education,Male,NA,5.6,12.3,21.7,27.3,20.6,12.5,6,18,40,67,88,7248
1997,199697,Academic year,National,E92000001,England,Final,Other social studies,All students,NA,14.4,16.4,18,15.8,13.6,21.8,14,31,49,65,78,1657
1997,199697,Academic year,National,E92000001,England,Final,Other social studies,Female,NA,15.7,14.8,17.9,16.7,13.6,21.4,16,31,48,65,79,861
1997,199697,Academic year,National,E92000001,England,Final,Other social studies,Male,NA,13.1,18.1,18.1,14.7,13.7,22.4,13,31,49,64,78,796
1997,199697,Academic year,National,E92000001,England,Final,Other sciences,All students,NA,10.8,15,19.6,22.6,16.6,15.4,11,26,45,68,85,4301
1997,199697,Academic year,National,E92000001,England,Final,Other sciences,Female,NA,10.7,16.8,19.3,22.9,16.3,13.9,11,28,47,70,86,1621
1997,199697,Academic year,National,E92000001,England,Final,Other sciences,Male,NA,10.9,13.8,19.7,22.5,16.7,16.4,11,25,44,67,84,2680
1997,199697,Academic year,National,E92000001,England,Final,Other communication studies,All students,NA,9.7,19.4,24.6,18.9,11.7,15.6,10,29,54,73,84,7573
1997,199697,Academic year,National,E92000001,England,Final,Other communication studies,Female,NA,10.7,21.4,26.7,18.6,10.6,11.9,11,32,59,77,88,5020
1997,199697,Academic year,National,E92000001,England,Final,Other communication studies,Male,NA,7.8,15.3,20.6,19.5,13.9,22.9,8,23,44,63,77,2553
1997,199697,Academic year,National,E92000001,England,Final,Other  modern  languages,All students,NA,29.3,24.1,17.2,11.8,6.7,10.9,29,53,71,82,89,3473
1997,199697,Academic year,National,E92000001,England,Final,Other  modern  languages,Female,NA,29.3,25.1,17.5,12.3,6.5,9.1,29,54,72,84,91,2025
1997,199697,Academic year,National,E92000001,England,Final,Other  modern  languages,Male,NA,29.2,22.7,16.8,11,6.9,13.4,29,52,69,80,87,1448
1997,199697,Academic year,National,E92000001,England,Final,Media film tv,All students,NA,10.4,17.2,28.7,24.7,12.3,6.7,10,28,56,81,93,8954
1997,199697,Academic year,National,E92000001,England,Final,Media film tv,Female,NA,11.2,18.3,28.8,24.8,11.1,5.7,11,30,58,83,94,5027
1997,199697,Academic year,National,E92000001,England,Final,Media film tv,Male,NA,9.4,15.8,28.5,24.5,13.8,8,9,25,54,78,92,3927
1997,199697,Academic year,National,E92000001,England,Final,Law,All students,NA,11.4,12.3,17.1,16.8,15.1,27.4,11,24,41,58,73,7253
1997,199697,Academic year,National,E92000001,England,Final,Law,Female,NA,11.3,13,17,17.3,15.6,25.8,11,24,41,59,74,4253
1997,199697,Academic year,National,E92000001,England,Final,Law,Male,NA,11.6,11.3,17.2,16,14.3,29.6,12,23,40,56,70,3000
1997,199697,Academic year,National,E92000001,England,Final,Home economics,All students,NA,10.9,15.1,19.9,22.2,16,15.9,11,26,46,68,84,1811
1997,199697,Academic year,National,E92000001,England,Final,Home economics,Female,NA,11.3,15.6,20.1,22.3,15.8,14.9,11,27,47,69,85,1724
1997,199697,Academic year,National,E92000001,England,Final,Home economics,Male,NA,NA,5.7,14.9,20.7,20.7,35.6,NA,NA,NA,NA,NA,87
1997,199697,Academic year,National,E92000001,England,Final,History,All students,NA,14.9,19,20.8,18.6,13.3,13.4,15,34,55,73,87,36078
1997,199697,Academic year,National,E92000001,England,Final,History,Female,NA,14.3,18.5,20.5,19,13.6,14.1,14,33,53,72,86,19812
1997,199697,Academic year,National,E92000001,England,Final,History,Male,NA,15.6,19.5,21.1,18.2,12.9,12.6,16,35,56,74,87,16266
1997,199697,Academic year,National,E92000001,England,Final,Government and politics,All students,NA,15.3,24.7,22.4,17.9,10.3,9.4,15,40,62,80,91,8332
1997,199697,Academic year,National,E92000001,England,Final,Government and politics,Female,NA,14.9,25.1,21.4,18.6,10.1,9.9,15,40,61,80,90,3460
1997,199697,Academic year,National,E92000001,England,Final,Government and politics,Male,NA,15.5,24.4,23.2,17.4,10.4,9.1,16,40,63,80,91,4872
1997,199697,Academic year,National,E92000001,England,Final,German,All students,NA,23.4,18.9,18.4,17,12.6,9.7,23,42,61,78,90,8984
1997,199697,Academic year,National,E92000001,England,Final,German,Female,NA,21.7,19.3,18.8,17.5,13.1,9.6,22,41,60,77,90,6139
1997,199697,Academic year,National,E92000001,England,Final,German,Male,NA,27,18.3,17.4,15.8,11.6,9.9,27,45,63,78,90,2845
1997,199697,Academic year,National,E92000001,England,Final,Geography,All students,NA,11.9,21.6,23.4,19.3,13.5,10.4,12,34,57,76,90,37979
1997,199697,Academic year,National,E92000001,England,Final,Geography,Female,NA,14,23.7,23.6,17.8,11.8,9.1,14,38,61,79,91,17115
1997,199697,Academic year,National,E92000001,England,Final,Geography,Male,NA,10.2,19.9,23.2,20.4,14.9,11.4,10,30,53,74,89,20864
1997,199697,Academic year,National,E92000001,England,Final,General studies,All students,NA,13.6,16.3,18.6,19.4,15.6,16.5,14,30,49,68,84,71742
1997,199697,Academic year,National,E92000001,England,Final,General studies,Female,NA,12,15.2,18.2,20,16.6,18,12,27,45,65,82,36687
1997,199697,Academic year,National,E92000001,England,Final,General studies,Male,NA,15.2,17.5,19.1,18.7,14.6,14.9,15,33,52,70,85,35055
1997,199697,Academic year,National,E92000001,England,Final,Further mathematics,All students,NA,47.2,20.9,14.1,8.4,5.4,4,47,68,82,91,96,4999
1997,199697,Academic year,National,E92000001,England,Final,Further mathematics,Female,NA,45.6,21.5,16.2,8.7,4.9,3.1,46,67,83,92,97,1243
1997,199697,Academic year,National,E92000001,England,Final,Further mathematics,Male,NA,47.8,20.7,13.4,8.3,5.5,4.3,48,68,82,90,96,3756
1997,199697,Academic year,National,E92000001,England,Final,French,All students,NA,20.2,20.1,19.8,16.9,12.4,10.5,20,40,60,77,89,21364
1997,199697,Academic year,National,E92000001,England,Final,French,Female,NA,19.6,20.1,20.1,17,12.6,10.6,20,40,60,77,89,14951
1997,199697,Academic year,National,E92000001,England,Final,French,Male,NA,21.5,20.1,19.3,16.8,12,10.2,22,42,61,78,90,6413
1997,199697,Academic year,National,E92000001,England,Final,Economics,All students,NA,16.1,17.1,18.6,18,13.9,16.3,16,33,52,70,84,19384
1997,199697,Academic year,National,E92000001,England,Final,Economics,Female,NA,15.9,17.1,18.4,17.7,14.2,16.6,16,33,51,69,83,6712
1997,199697,Academic year,National,E92000001,England,Final,Economics,Male,NA,16.2,17.2,18.7,18.2,13.7,16.1,16,33,52,70,84,12672
1997,199697,Academic year,National,E92000001,England,Final,Drama,All students,NA,12,15.2,20.9,20.9,16.6,14.5,12,27,48,69,86,8754
1997,199697,Academic year,National,E92000001,England,Final,Drama,Female,NA,12.7,15.8,21.6,20.9,16.3,12.7,13,28,50,71,87,6422
1997,199697,Academic year,National,E92000001,England,Final,Drama,Male,NA,10,13.5,19.1,20.8,17.2,19.4,10,24,43,63,81,2332
1997,199697,Academic year,National,E92000001,England,Final,Design & technology,All students,NA,12.6,15.2,24.4,22.6,14.6,10.7,13,28,52,75,89,9493
