year,time_period,time_identifier,geographic_level,country_code,country_name,data_version,subject_name,characteristic_value,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved,entry_count
2014,201314,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,13,36,61,81,95,2748
2015,201415,Academic year,National,E92000001,England,Final,Accounting and finance,All students,1,13,35,61,82,96,2529
2016,201516,Academic year,National,E92000001,England,Final,Accounting and finance,All students,2,14,38,64,84,96,2342
2017,201617,Academic year,National,E92000001,England,Final,Accounting and finance,All students,3,17,41,66,86,97,2283
2018,201718,Academic year,National,E92000001,England,Revised,Accounting and finance,All students,2.3,14.8,38.4,61.8,83.5,95.6,2218
2019,201819,Academic year,National,E92000001,England,Revised,Accounting and finance,All students,1.1,12.5,31.6,58.1,80.7,93.7,2152
2020,201920,Academic year,National,E92000001,England,Final,Accounting and finance,All students,5.3,22.2,47.4,74.4,91.5,99,2106
2021,202021,Academic year,National,E92000001,England,Final,Accounting and finance,All students,9.4,28.8,53.1,76.3,90.8,98.5,2186
2022,202122,Academic year,National,E92000001,England,Revised,Accounting and finance,All students,6.2,21.5,44,68.3,86.1,95.8,2220
1996,199596,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,9,24,36,50,63,786
1997,199697,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,9,23,39,52,65,739
1998,199798,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,12,28,40,52,65,720
1999,199899,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,11,27,45,61,74,796
2000,199900,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,9,24,41,58,72,736
2001,200001,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,10,25,41,59,74,782
2002,200102,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,14,28,45,65,85,781
2003,200203,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,14,30,48,71,89,929
2004,200304,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,15,33,54,72,90,1000
2005,200405,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,14,35,56,80,93,1056
2006,200506,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,14,31,55,78,94,1134
2007,200607,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,14,36,58,79,94,1207
2008,200708,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,15,36,60,82,95,1298
2009,200809,Academic year,National,E92000001,England,Final,Accounting and finance,Female,NA,14,37,59,82,95,1424
2010,200910,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,15,36,62,83,96,1443
2011,201011,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,16,39,64,83,97,1212
2012,201112,Academic year,National,E92000001,England,Final,Accounting and finance,Female,3,15,36,61,82,96,1210
2013,201213,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,17,41,65,85,96,1073
2014,201314,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,14,39,64,83,96,912
2015,201415,Academic year,National,E92000001,England,Final,Accounting and finance,Female,2,14,33,60,82,96,829
2016,201516,Academic year,National,E92000001,England,Final,Accounting and finance,Female,3,19,42,67,85,96,764
2017,201617,Academic year,National,E92000001,England,Final,Accounting and finance,Female,3,19,42,65,86,97,754
2018,201718,Academic year,National,E92000001,England,Revised,Accounting and finance,Female,2.7,16.9,39.1,60.9,82.6,96.5,706
2019,201819,Academic year,National,E92000001,England,Revised,Accounting and finance,Female,1.5,14.8,35.4,61.5,80.3,93.8,650
2020,201920,Academic year,National,E92000001,England,Final,Accounting and finance,Female,7,24.4,52.5,78.2,91.6,98.6,628
2021,202021,Academic year,National,E92000001,England,Final,Accounting and finance,Female,11.6,32.3,57.4,80,92.4,99,709
2022,202122,Academic year,National,E92000001,England,Revised,Accounting and finance,Female,7.5,25.5,47,70.5,85.2,96.6,643
1996,199596,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,10,25,37,51,62,1256
1997,199697,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,9,23,35,48,63,1184
1998,199798,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,8,22,38,52,66,1149
1999,199899,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,8,24,39,54,67,1203
2000,199900,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,10,24,40,57,69,1208
2001,200001,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,10,29,44,60,73,1174
2002,200102,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,11,27,44,66,84,1357
2003,200203,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,10,26,46,67,89,1442
2004,200304,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,11,25,46,70,90,1660
2005,200405,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,10,30,53,74,92,1766
2006,200506,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,10,29,53,76,93,1924
2007,200607,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,10,30,54,76,92,2063
2008,200708,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,14,33,57,79,95,2234
2009,200809,Academic year,National,E92000001,England,Final,Accounting and finance,Male,NA,13,36,61,83,95,2234
2010,200910,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,15,37,64,85,97,2365
2011,201011,Academic year,National,E92000001,England,Final,Accounting and finance,Male,1,13,34,60,84,96,2283
2012,201112,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,13,37,64,85,96,2095
2013,201213,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,13,36,63,84,96,2045
2014,201314,Academic year,National,E92000001,England,Final,Accounting and finance,Male,2,12,34,60,80,95,1836
2015,201415,Academic year,National,E92000001,England,Final,Accounting and finance,Male,1,12,36,62,82,96,1700
2016,201516,Academic year,National,E92000001,England,Final,Accounting and finance,Male,1,12,36,62,83,96,1578
2017,201617,Academic year,National,E92000001,England,Final,Accounting and finance,Male,3,15,41,67,86,97,1529
2018,201718,Academic year,National,E92000001,England,Revised,Accounting and finance,Male,2.1,13.8,38.1,62.2,83.9,95.2,1512
2019,201819,Academic year,National,E92000001,England,Revised,Accounting and finance,Male,0.9,11.5,29.9,56.7,80.8,93.7,1502
2020,201920,Academic year,National,E92000001,England,Final,Accounting and finance,Male,4.6,21.3,45.3,72.7,91.4,99.2,1478
2021,202021,Academic year,National,E92000001,England,Final,Accounting and finance,Male,8.4,27.1,51,74.5,90,98.3,1477
2022,202122,Academic year,National,E92000001,England,Revised,Accounting and finance,Male,5.7,19.8,42.7,67.4,86.4,95.5,1577
1996,199596,Academic year,National,E92000001,England,Final,Art & design,All students,NA,19,38,62,80,92,29796
1997,199697,Academic year,National,E92000001,England,Final,Art & design,All students,NA,20,40,63,82,92,31742
1998,199798,Academic year,National,E92000001,England,Final,Art & design,All students,NA,22,42,65,83,93,33815
1999,199899,Academic year,National,E92000001,England,Final,Art & design,All students,NA,23,43,66,84,93,34640
2000,199900,Academic year,National,E92000001,England,Final,Art & design,All students,NA,23,43,67,84,93,34150
2001,200001,Academic year,National,E92000001,England,Final,Art & design,All students,NA,26,46,71,87,95,35337
2002,200102,Academic year,National,E92000001,England,Final,Art & design,All students,NA,27,50,72,88,96,31687
2003,200203,Academic year,National,E92000001,England,Final,Art & design,All students,NA,27,50,73,89,97,33992
2004,200304,Academic year,National,E92000001,England,Final,Art & design,All students,NA,27,51,73,89,97,34565
2005,200405,Academic year,National,E92000001,England,Final,Art & design,All students,NA,28,52,75,91,98,35594
2006,200506,Academic year,National,E92000001,England,Final,Art & design,All students,NA,29,54,77,92,98,37336
2007,200607,Academic year,National,E92000001,England,Final,Art & design,All students,NA,30,54,77,92,98,37951
2008,200708,Academic year,National,E92000001,England,Final,Art & design,All students,NA,30,55,78,93,98,39623
2009,200809,Academic year,National,E92000001,England,Final,Art & design,All students,NA,31,57,80,93,98,41112
2010,200910,Academic year,National,E92000001,England,Final,Art & design,All students,13,31,57,80,93,98,42784
2011,201011,Academic year,National,E92000001,England,Final,Art & design,All students,14,31,57,81,94,99,42633
2012,201112,Academic year,National,E92000001,England,Final,Art & design,All students,13,30,58,82,95,99,43236
2013,201213,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,57,83,96,99,41388
2014,201314,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,57,83,96,99,40763
2015,201415,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,58,83,96,99,40747
2016,201516,Academic year,National,E92000001,England,Final,Art & design,All students,12,28,57,84,96,99,39504
2017,201617,Academic year,National,E92000001,England,Final,Art & design,All students,13,28,59,83,95,99,40085
2018,201718,Academic year,National,E92000001,England,Revised,Art & design,All students,12.6,28.3,59.2,83.2,94.6,98.7,39456
2019,201819,Academic year,National,E92000001,England,Revised,Art & design,All students,12.3,27.9,60.5,84.7,95.4,98.8,39003
2020,201920,Academic year,National,E92000001,England,Final,Art & design,All students,17.5,41.4,73.6,93.1,98.5,99.7,38610
2021,202021,Academic year,National,E92000001,England,Final,Art & design,All students,21.5,46.5,75.3,92.9,97.8,99.4,39065
2022,202122,Academic year,National,E92000001,England,Revised,Art & design,All students,18.9,38.8,70.3,90.2,97.1,99.2,41788
1996,199596,Academic year,National,E92000001,England,Final,Art & design,Female,NA,20,41,64,82,93,18052
1997,199697,Academic year,National,E92000001,England,Final,Art & design,Female,NA,21,42,66,85,94,19224
1998,199798,Academic year,National,E92000001,England,Final,Art & design,Female,NA,24,44,68,86,94,20877
1999,199899,Academic year,National,E92000001,England,Final,Art & design,Female,NA,25,46,70,87,95,21458
2000,199900,Academic year,National,E92000001,England,Final,Art & design,Female,NA,25,46,70,87,95,21634
2001,200001,Academic year,National,E92000001,England,Final,Art & design,Female,NA,27,49,74,90,96,22933
2002,200102,Academic year,National,E92000001,England,Final,Art & design,Female,NA,29,54,75,90,97,21691
2003,200203,Academic year,National,E92000001,England,Final,Art & design,Female,NA,30,54,77,91,98,23524
2004,200304,Academic year,National,E92000001,England,Final,Art & design,Female,NA,29,54,76,91,98,23625
2005,200405,Academic year,National,E92000001,England,Final,Art & design,Female,NA,30,55,78,92,98,24670
2006,200506,Academic year,National,E92000001,England,Final,Art & design,Female,NA,31,57,80,93,98,25778
2007,200607,Academic year,National,E92000001,England,Final,Art & design,Female,NA,32,57,79,93,98,26537
2008,200708,Academic year,National,E92000001,England,Final,Art & design,Female,NA,32,58,80,94,99,27853
2009,200809,Academic year,National,E92000001,England,Final,Art & design,Female,NA,33,59,82,94,99,29097
2010,200910,Academic year,National,E92000001,England,Final,Art & design,Female,13,33,59,82,94,99,30929
2011,201011,Academic year,National,E92000001,England,Final,Art & design,Female,15,32,60,83,95,99,31191
2012,201112,Academic year,National,E92000001,England,Final,Art & design,Female,14,31,60,84,96,99,31914
2013,201213,Academic year,National,E92000001,England,Final,Art & design,Female,12,30,60,85,96,99,30945
2014,201314,Academic year,National,E92000001,England,Final,Art & design,Female,12,29,60,85,96,99,30809
2015,201415,Academic year,National,E92000001,England,Final,Art & design,Female,13,30,60,86,97,100,31118
2016,201516,Academic year,National,E92000001,England,Final,Art & design,Female,13,30,60,86,97,99,30120
2017,201617,Academic year,National,E92000001,England,Final,Art & design,Female,13,29,60,84,95,99,30326
2018,201718,Academic year,National,E92000001,England,Revised,Art & design,Female,13.3,30,61.8,85.3,95.6,99,29656
2019,201819,Academic year,National,E92000001,England,Revised,Art & design,Female,13.2,30,63.4,86.6,96.1,99.1,28951
2020,201920,Academic year,National,E92000001,England,Final,Art & design,Female,18.8,44.2,76.5,94.6,98.8,99.8,28864
2021,202021,Academic year,National,E92000001,England,Final,Art & design,Female,23,49.5,78.5,94.4,98.4,99.6,29049
2022,202122,Academic year,National,E92000001,England,Revised,Art & design,Female,20.4,41.7,73.5,91.8,97.7,99.3,30951
1996,199596,Academic year,National,E92000001,England,Final,Art & design,Male,NA,17,35,57,76,89,11744
1997,199697,Academic year,National,E92000001,England,Final,Art & design,Male,NA,18,36,58,78,90,12518
1998,199798,Academic year,National,E92000001,England,Final,Art & design,Male,NA,19,37,60,79,91,12938
1999,199899,Academic year,National,E92000001,England,Final,Art & design,Male,NA,19,38,60,80,91,13182
2000,199900,Academic year,National,E92000001,England,Final,Art & design,Male,NA,20,39,62,80,91,12516
2001,200001,Academic year,National,E92000001,England,Final,Art & design,Male,NA,23,41,65,83,93,12404
2002,200102,Academic year,National,E92000001,England,Final,Art & design,Male,NA,22,42,64,83,94,9996
2003,200203,Academic year,National,E92000001,England,Final,Art & design,Male,NA,21,42,65,85,95,10468
2004,200304,Academic year,National,E92000001,England,Final,Art & design,Male,NA,22,44,67,85,95,10940
2005,200405,Academic year,National,E92000001,England,Final,Art & design,Male,NA,23,45,69,88,97,10924
2006,200506,Academic year,National,E92000001,England,Final,Art & design,Male,NA,25,47,71,88,97,11558
2007,200607,Academic year,National,E92000001,England,Final,Art & design,Male,NA,26,48,72,89,97,11414
2008,200708,Academic year,National,E92000001,England,Final,Art & design,Male,NA,26,49,72,90,98,11770
2009,200809,Academic year,National,E92000001,England,Final,Art & design,Male,NA,27,51,75,90,98,12015
2010,200910,Academic year,National,E92000001,England,Final,Art & design,Male,12,26,50,74,90,98,11855
2011,201011,Academic year,National,E92000001,England,Final,Art & design,Male,12,26,51,75,91,98,11442
2012,201112,Academic year,National,E92000001,England,Final,Art & design,Male,12,26,50,76,92,98,11322
2013,201213,Academic year,National,E92000001,England,Final,Art & design,Male,11,24,49,76,93,99,10443
2014,201314,Academic year,National,E92000001,England,Final,Art & design,Male,11,23,49,77,93,99,9954
2015,201415,Academic year,National,E92000001,England,Final,Art & design,Male,11,23,49,76,93,99,9629
2016,201516,Academic year,National,E92000001,England,Final,Art & design,Male,11,22,49,78,94,99,9384
2017,201617,Academic year,National,E92000001,England,Final,Art & design,Male,12,25,53,78,92,98,9759
2018,201718,Academic year,National,E92000001,England,Revised,Art & design,Male,10.4,23.3,51.3,76.9,91.5,97.5,9800
2019,201819,Academic year,National,E92000001,England,Revised,Art & design,Male,9.8,21.9,51.9,79.3,93.2,98.2,10052
2020,201920,Academic year,National,E92000001,England,Final,Art & design,Male,13.6,32.9,64.9,88.6,97.4,99.6,9746
2021,202021,Academic year,National,E92000001,England,Final,Art & design,Male,17,37.7,65.9,88.5,96.2,99.1,10016
2022,202122,Academic year,National,E92000001,England,Revised,Art & design,Male,14.6,30.3,61.1,85.4,95.3,98.8,10837
1996,199596,Academic year,National,E92000001,England,Final,Biology,All students,NA,14,33,52,70,85,43398
1997,199697,Academic year,National,E92000001,England,Final,Biology,All students,NA,15,34,54,72,86,47598
1998,199798,Academic year,National,E92000001,England,Final,Biology,All students,NA,16,36,55,73,87,48897
1999,199899,Academic year,National,E92000001,England,Final,Biology,All students,NA,17,37,56,74,88,47192
2000,199900,Academic year,National,E92000001,England,Final,Biology,All students,NA,18,38,57,75,89,46190
2001,200001,Academic year,National,E92000001,England,Final,Biology,All students,NA,19,39,59,76,89,44592
2002,200102,Academic year,National,E92000001,England,Final,Biology,All students,NA,21,41,61,79,92,45407
2003,200203,Academic year,National,E92000001,England,Final,Biology,All students,NA,22,42,63,80,94,43902
2004,200304,Academic year,National,E92000001,England,Final,Biology,All students,NA,22,44,65,82,95,44235
2005,200405,Academic year,National,E92000001,England,Final,Biology,All students,NA,23,45,65,83,95,45662
2006,200506,Academic year,National,E92000001,England,Final,Biology,All students,NA,25,46,67,84,96,46624
2007,200607,Academic year,National,E92000001,England,Final,Biology,All students,NA,26,48,68,85,96,46797
2008,200708,Academic year,National,E92000001,England,Final,Biology,All students,NA,27,49,70,86,97,48397
2009,200809,Academic year,National,E92000001,England,Final,Biology,All students,NA,28,51,71,87,97,47978
2010,200910,Academic year,National,E92000001,England,Final,Biology,All students,8,28,51,72,88,98,52728
2011,201011,Academic year,National,E92000001,England,Final,Biology,All students,9,28,52,74,89,98,54738
2012,201112,Academic year,National,E92000001,England,Final,Biology,All students,8,29,53,74,89,98,55817
2013,201213,Academic year,National,E92000001,England,Final,Biology,All students,8,29,53,74,90,98,57234
2014,201314,Academic year,National,E92000001,England,Final,Biology,All students,10,28,52,73,89,98,55847
2015,201415,Academic year,National,E92000001,England,Final,Biology,All students,10,28,52,73,89,98,55150
2016,201516,Academic year,National,E92000001,England,Final,Biology,All students,10,28,52,74,90,99,54305
2017,201617,Academic year,National,E92000001,England,Final,Biology,All students,8,27,49,71,88,97,54794
2018,201718,Academic year,National,E92000001,England,Revised,Biology,All students,7.8,26.1,47.4,69.6,87.2,96.7,57043
2019,201819,Academic year,National,E92000001,England,Revised,Biology,All students,6.9,24.3,44.7,66.9,85.7,96,62558
2020,201920,Academic year,National,E92000001,England,Final,Biology,All students,13.3,37.7,62.4,84,95.3,99.4,58720
2021,202021,Academic year,National,E92000001,England,Final,Biology,All students,18,44.2,68.1,86.1,95.6,99.5,61866
2022,202122,Academic year,National,E92000001,England,Revised,Biology,All students,13.2,34.4,55.8,75.4,89.7,97.6,64315
1996,199596,Academic year,National,E92000001,England,Final,Biology,Female,NA,15,34,54,71,86,25643
1997,199697,Academic year,National,E92000001,England,Final,Biology,Female,NA,16,36,55,73,87,28138
1998,199798,Academic year,National,E92000001,England,Final,Biology,Female,NA,17,37,57,75,88,29073
1999,199899,Academic year,National,E92000001,England,Final,Biology,Female,NA,18,38,58,76,89,28653
2000,199900,Academic year,National,E92000001,England,Final,Biology,Female,NA,19,40,60,77,90,28438
2001,200001,Academic year,National,E92000001,England,Final,Biology,Female,NA,20,41,61,78,90,27567
2002,200102,Academic year,National,E92000001,England,Final,Biology,Female,NA,23,43,63,80,93,27978
2003,200203,Academic year,National,E92000001,England,Final,Biology,Female,NA,23,45,65,82,95,26882
2004,200304,Academic year,National,E92000001,England,Final,Biology,Female,NA,24,46,67,84,95,26615
2005,200405,Academic year,National,E92000001,England,Final,Biology,Female,NA,24,46,67,84,96,26981
2006,200506,Academic year,National,E92000001,England,Final,Biology,Female,NA,26,48,68,85,96,27324
2007,200607,Academic year,National,E92000001,England,Final,Biology,Female,NA,27,50,70,86,97,27468
2008,200708,Academic year,National,E92000001,England,Final,Biology,Female,NA,28,50,71,87,97,28093
2009,200809,Academic year,National,E92000001,England,Final,Biology,Female,NA,29,52,72,88,97,27468
2010,200910,Academic year,National,E92000001,England,Final,Biology,Female,8,29,53,74,89,98,29628
2011,201011,Academic year,National,E92000001,England,Final,Biology,Female,10,30,54,75,90,98,30953
2012,201112,Academic year,National,E92000001,England,Final,Biology,Female,9,30,55,76,90,98,31515
2013,201213,Academic year,National,E92000001,England,Final,Biology,Female,9,30,56,76,91,99,33151
2014,201314,Academic year,National,E92000001,England,Final,Biology,Female,10,29,53,74,89,99,33039
2015,201415,Academic year,National,E92000001,England,Final,Biology,Female,10,29,52,74,90,99,33432
2016,201516,Academic year,National,E92000001,England,Final,Biology,Female,10,28,53,74,90,98,33207
2017,201617,Academic year,National,E92000001,England,Final,Biology,Female,8,27,49,71,88,97,33860
2018,201718,Academic year,National,E92000001,England,Revised,Biology,Female,7.7,26.1,47.6,69.7,87.3,96.8,36131
2019,201819,Academic year,National,E92000001,England,Revised,Biology,Female,7.3,25.3,45.9,68.1,86.5,96.3,39338
2020,201920,Academic year,National,E92000001,England,Final,Biology,Female,13.6,38.8,63.9,85.1,95.7,99.5,37572
2021,202021,Academic year,National,E92000001,England,Final,Biology,Female,18.7,46,70.1,87.6,96.2,99.5,39387
2022,202122,Academic year,National,E92000001,England,Revised,Biology,Female,13.4,34.9,56.5,76.2,90.1,97.6,40933
1996,199596,Academic year,National,E92000001,England,Final,Biology,Male,NA,13,31,49,68,84,17755
1997,199697,Academic year,National,E92000001,England,Final,Biology,Male,NA,14,32,51,70,85,19460
1998,199798,Academic year,National,E92000001,England,Final,Biology,Male,NA,15,33,52,70,86,19824
1999,199899,Academic year,National,E92000001,England,Final,Biology,Male,NA,16,34,54,72,87,18539
2000,199900,Academic year,National,E92000001,England,Final,Biology,Male,NA,16,34,54,72,88,17752
2001,200001,Academic year,National,E92000001,England,Final,Biology,Male,NA,17,35,55,73,88,17025
2002,200102,Academic year,National,E92000001,England,Final,Biology,Male,NA,19,38,57,76,91,17429
2003,200203,Academic year,National,E92000001,England,Final,Biology,Male,NA,19,39,59,77,92,17020
2004,200304,Academic year,National,E92000001,England,Final,Biology,Male,NA,20,41,61,80,94,17620
2005,200405,Academic year,National,E92000001,England,Final,Biology,Male,NA,22,43,63,81,94,18681
2006,200506,Academic year,National,E92000001,England,Final,Biology,Male,NA,23,44,65,82,95,19300
2007,200607,Academic year,National,E92000001,England,Final,Biology,Male,NA,25,45,65,83,95,19329
2008,200708,Academic year,National,E92000001,England,Final,Biology,Male,NA,26,47,68,84,96,20304
2009,200809,Academic year,National,E92000001,England,Final,Biology,Male,NA,26,48,68,85,97,20510
2010,200910,Academic year,National,E92000001,England,Final,Biology,Male,7,26,49,70,87,97,23100
2011,201011,Academic year,National,E92000001,England,Final,Biology,Male,8,27,50,72,88,98,23785
2012,201112,Academic year,National,E92000001,England,Final,Biology,Male,8,28,51,73,89,98,24302
2013,201213,Academic year,National,E92000001,England,Final,Biology,Male,8,27,50,72,88,98,24083
2014,201314,Academic year,National,E92000001,England,Final,Biology,Male,10,28,50,72,88,98,22808
2015,201415,Academic year,National,E92000001,England,Final,Biology,Male,9,27,50,71,88,98,21718
2016,201516,Academic year,National,E92000001,England,Final,Biology,Male,10,28,51,73,89,98,21098
2017,201617,Academic year,National,E92000001,England,Final,Biology,Male,8,26,48,70,88,97,20934
2018,201718,Academic year,National,E92000001,England,Revised,Biology,Male,7.9,26.1,46.9,69.4,87,96.5,20911
2019,201819,Academic year,National,E92000001,England,Revised,Biology,Male,6.3,22.6,42.6,64.9,84.3,95.5,23220
2020,201920,Academic year,National,E92000001,England,Final,Biology,Male,12.8,35.8,59.8,82,94.6,99.3,21148
2021,202021,Academic year,National,E92000001,England,Final,Biology,Male,16.9,41.2,64.6,83.5,94.5,99.4,22479
2022,202122,Academic year,National,E92000001,England,Revised,Biology,Male,12.8,33.6,54.4,74,89.2,97.4,23380
1996,199596,Academic year,National,E92000001,England,Final,Business studies,All students,NA,8,23,45,66,82,24721
1997,199697,Academic year,National,E92000001,England,Final,Business studies,All students,NA,8,27,51,72,86,27313
1998,199798,Academic year,National,E92000001,England,Final,Business studies,All students,NA,8,28,53,74,87,29646
1999,199899,Academic year,National,E92000001,England,Final,Business studies,All students,NA,9,29,54,75,88,30623
2000,199900,Academic year,National,E92000001,England,Final,Business studies,All students,NA,10,30,56,77,90,31076
2001,200001,Academic year,National,E92000001,England,Final,Business studies,All students,NA,11,32,58,79,91,30840
2002,200102,Academic year,National,E92000001,England,Final,Business studies,All students,NA,11,33,60,83,96,32093
2003,200203,Academic year,National,E92000001,England,Final,Business studies,All students,NA,13,36,64,86,97,32444
2004,200304,Academic year,National,E92000001,England,Final,Business studies,All students,NA,15,39,67,88,98,31287
2005,200405,Academic year,National,E92000001,England,Final,Business studies,All students,NA,16,41,69,89,98,29948
2006,200506,Academic year,National,E92000001,England,Final,Business studies,All students,NA,17,42,70,90,98,29936
2007,200607,Academic year,National,E92000001,England,Final,Business studies,All students,NA,18,45,73,91,98,29248
2008,200708,Academic year,National,E92000001,England,Final,Business studies,All students,NA,18,46,74,92,99,29887
2009,200809,Academic year,National,E92000001,England,Final,Business studies,All students,NA,19,47,75,92,99,30561
2010,200910,Academic year,National,E92000001,England,Final,Business studies,All students,4,17,44,73,92,99,30971
2011,201011,Academic year,National,E92000001,England,Final,Business studies,All students,4,17,44,74,92,99,28776
2012,201112,Academic year,National,E92000001,England,Final,Business studies,All students,4,16,44,74,92,99,27777
2013,201213,Academic year,National,E92000001,England,Final,Business studies,All students,3,16,44,75,92,99,27038
2014,201314,Academic year,National,E92000001,England,Final,Business studies,All students,4,16,43,73,91,99,25705
2015,201415,Academic year,National,E92000001,England,Final,Business studies,All students,4,15,43,73,92,99,24261
2016,201516,Academic year,National,E92000001,England,Final,Business studies,All students,3,14,42,73,92,99,25134
2017,201617,Academic year,National,E92000001,England,Final,Business studies,All students,4,15,44,74,92,98,27050
2018,201718,Academic year,National,E92000001,England,Revised,Business studies,All students,3.4,15.2,44.9,74.7,91.7,97.8,29619
2019,201819,Academic year,National,E92000001,England,Revised,Business studies,All students,3.3,14.8,44.1,74.1,91.4,97.7,30198
2020,201920,Academic year,National,E92000001,England,Final,Business studies,All students,6.7,25.4,57.3,86,97,99.7,32518
2021,202021,Academic year,National,E92000001,England,Final,Business studies,All students,10.1,31.7,62.2,86.6,96.1,99.5,34618
2022,202122,Academic year,National,E92000001,England,Revised,Business studies,All students,7.5,25,59.7,83.3,94.5,98.4,38484
1996,199596,Academic year,National,E92000001,England,Final,Business studies,Female,NA,8,23,45,66,82,11445
1997,199697,Academic year,National,E92000001,England,Final,Business studies,Female,NA,8,28,52,73,87,12461
1998,199798,Academic year,National,E92000001,England,Final,Business studies,Female,NA,9,30,54,74,87,13584
1999,199899,Academic year,National,E92000001,England,Final,Business studies,Female,NA,10,30,54,74,88,13909
2000,199900,Academic year,National,E92000001,England,Final,Business studies,Female,NA,11,31,57,78,90,14177
2001,200001,Academic year,National,E92000001,England,Final,Business studies,Female,NA,12,33,59,79,91,13800
2002,200102,Academic year,National,E92000001,England,Final,Business studies,Female,NA,13,36,63,84,96,13414
2003,200203,Academic year,National,E92000001,England,Final,Business studies,Female,NA,15,39,66,87,97,13165
2004,200304,Academic year,National,E92000001,England,Final,Business studies,Female,NA,16,41,68,89,98,12664
