time_period,time_identifier,geographic_level,country_code,country_name,version,school_type,school_type_group,characteristic_gender,number_of_students,aps_per_entry_2016_2022,aps_per_entry_2013_2015,aps_per_entry_grade_2016_2022,aps_per_entry_grade_2013_2015,pc_achieving_atleast_two_alev,entered_for_one_or_more_alev_or_applied,aps_per_entry_best3,aps_per_entry_grade_best3,pc_achieving_3_astar_to_a_alev,pc_achieving_aab_or_better_alev,entered_for_one_or_more_alev,pc_achieving_aab_or_better_atleast_two_facilitating_alev,year,year_2013_2015,year_2016_2022
202122,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Female,21,28.8889,,C,,42.857,9,16.6667,D-,0,0,9,0,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Female,17152,38.2214,,B-,,87.185,12800,38.7349,B,18.883,30.391,12800,18.875,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Female,13173,33.9247,,C+,,87.209,9769,33.1706,C+,9.213,17.228,9769,6.777,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Female,19324,38.9867,,B,,85.412,13369,39.2503,B,20.278,33.024,13369,17.002,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Female,10377,34.7483,,C+,,79.975,6318,35.7919,B-,12.029,21.557,6318,12.821,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Female,128,30.3053,,C,,66.406,53,30,C,13.208,15.094,53,3.774,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Female,484,28.1925,,C-,,53.099,223,26.3677,C-,6.726,10.314,223,9.865,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Male,22009,35.1735,,B-,,85.697,16384,34.8116,C+,15.515,23.969,16384,16.162,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Male,17550,44.6355,,B+,,93.128,13991,44.5293,B+,38.854,51.962,13991,39.375,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All schools,All schools,Male,106283,38.5553,,B,,88.303,81577,39.0416,B,24.41,34.973,81577,26.745,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Male,128292,37.9966,,B-,,87.856,98112,38.3039,B-,22.887,33.082,98112,24.937,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Male,88709,37.2817,,B-,,87.359,67572,37.9092,B-,21.425,31.46,67572,24.133,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Male,110718,36.8744,,B-,,87.028,84076,37.2781,B-,20.242,29.955,84076,22.545,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Male,60701,38.0647,,B-,,89.41,47714,38.5615,B,22.928,33.118,47714,25.33,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Male,1570,34.3728,,C+,,91.847,1368,34.4956,C+,13.158,22.442,1368,17.544,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Male,2184,39.8315,,B,,89.011,1791,39.1736,B,26.019,36.181,1791,30.542,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Male,17505,44.6603,,B+,,93.219,13964,44.5651,B+,38.914,52.041,13964,39.437,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Male,45,30.7865,,C,,57.778,27,26.0494,C-,7.407,11.111,27,7.407,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Male,14212,36.6832,,B-,,87.117,10803,37.3652,B-,19.448,29.797,10803,22.762,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Male,8272,32.2835,,C+,,86.339,6400,31.5563,C,9.063,15.625,6400,9.688,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Male,13737,36.928,,B-,,85.31,9984,36.8984,B-,19.651,29.317,9984,20.313,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Male,8740,32.9783,,C+,,77.151,5329,34.4173,C+,13.586,22.012,5329,16.626,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Male,156,29.8944,,C,,56.41,53,29.5597,C,3.774,13.208,53,11.321,2022,,2022
202122,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Male,980,27.5252,,C-,,50.612,383,27.9809,C-,9.138,13.316,383,13.316,2022,,2022
202021,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,All students,54083,38.5087,,B,,86.676,43953,36.7712,B-,17.969,28.471,43953,16.311,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,All students,34555,49.3454,,A,,92.25,27260,49.4526,A,54.927,69.266,27260,50.385,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All schools,All schools,All students,217677,42.3235,,B+,,88.705,168365,42.5768,B+,31.743,44.86,168365,31.786,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,All students,271072,41.6011,,B,,88.519,212604,41.3489,B,28.856,41.418,212604,28.55,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,All students,183091,40.9221,,B,,88.039,141086,41.2492,B,27.266,40.146,141086,28.193,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,All students,236597,40.3975,,B,,87.936,185182,40.1683,B,25.041,37.348,185182,25.354,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,All students,125398,41.281,,B,,89.73,99683,41.5396,B,28.039,41.069,99683,28.798,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,All students,2627,40.7546,,B,,94.671,2308,40.998,B,25.78,38.692,2308,29.679,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,All students,4144,42.5426,,B+,,89.72,3600,40.0824,B,29.222,40.639,3600,31.083,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,All students,34510,49.3543,,A,,92.309,27248,49.4643,A,54.951,69.297,27248,50.407,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,All students,45,36.5441,,B-,,46.667,12,22.7778,D+,0,0,12,0,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,All students,31289,40.5982,,B,,87.341,23766,41.0787,B,26.29,39.245,23766,27.497,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,All students,20332,36.948,,B-,,85.574,15949,35.9947,B-,15.192,24.936,15949,12.791,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,All students,33751,39.4422,,B,,87.34,28004,37.2135,B-,19.551,30.485,28004,18.315,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,All students,17696,38.5285,,B,,79.153,10794,39.74,B,22.327,34.399,10794,22.883,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,All students,255,37.8671,,B-,,61.569,102,38.6928,B,25.49,32.353,102,23.529,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,All students,1256,36.0091,,B-,,53.662,503,35.0099,B-,19.881,27.833,503,26.044,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Female,32101,39.5115,,B,,86.941,25670,37.897,B-,18.718,30.491,25670,15.617,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Female,17144,50.5511,,A,,94.109,14136,50.6661,A,59.409,73.925,14136,51.698,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All schools,All schools,Female,117815,43.2954,,B+,,89.323,91474,43.5343,B+,33.142,47.369,91474,31.035,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Female,149582,42.523,,B+,,89.005,117309,42.2708,B+,29.941,43.615,117309,27.623,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Female,100658,41.9601,,B+,,88.512,77331,42.2316,B+,28.343,42.517,77331,27.259,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Female,132471,41.393,,B,,88.318,103080,41.1334,B,25.927,39.495,103080,24.343,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Female,68971,42.3823,,B+,,90.171,54670,42.6015,B+,29.321,43.73,54670,28.052,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Female,1350,41.5349,,B,,94.519,1185,41.6568,B,27.173,40.506,1185,29.705,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Female,2319,42.7883,,B+,,88.831,1966,40.0983,B,27.67,40.539,1966,28.688,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Female,17136,50.5528,,A,,94.147,14135,50.669,A,59.413,73.93,14135,51.701,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Female,8,40,,B,,12.5,1,10,E,0,0,1,0,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Female,17448,41.4119,,B,,87.586,13187,41.8311,B+,26.693,40.775,13187,25.95,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Female,12434,37.8323,,B-,,85.733,9599,37.0077,B-,15.627,26.492,9599,12.001,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Female,19667,40.5674,,B,,87.705,16071,38.4282,B,20.565,32.879,16071,17.777,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Female,9826,39.6188,,B,,79.91,5936,40.8232,B,23.568,36.59,5936,21.799,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Female,94,41.9888,,B+,,61.702,31,46.2366,A-,41.935,51.613,31,32.258,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Female,403,38.474,,B,,52.109,171,35.3216,B-,22.222,30.994,171,27.485,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Male,21982,37.0646,,B-,,86.289,18283,35.1906,B-,16.917,25.636,18283,17.284,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Male,17410,48.1189,,A-,,90.419,13123,48.1445,A-,50.095,64.246,13123,48.967,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All schools,All schools,Male,99861,41.1844,,B,,87.975,76890,41.4373,B,30.078,41.874,76890,32.679,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Male,121489,40.477,,B,,87.92,95294,40.2139,B,27.52,38.713,95294,29.691,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Male,82433,39.6705,,B,,87.461,63755,40.0576,B,25.96,37.271,63755,29.326,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Male,104126,39.1491,,B,,87.45,82102,38.9567,B,23.928,34.652,82102,26.623,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Male,56427,39.9527,,B,,89.191,45013,40.2499,B,26.481,37.838,45013,29.705,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Male,1277,39.9388,,B,,94.832,1123,40.3028,B,24.31,36.776,1123,29.653,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Male,1825,42.2471,,B+,,90.849,1634,40.0632,B,31.089,40.759,1634,33.966,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Male,17373,48.1338,,A-,,90.497,13112,48.1648,A-,50.137,64.3,13112,49.009,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Male,37,36.0833,,B-,,54.054,11,23.9394,D+,0,0,11,0,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Male,13841,39.5894,,B,,87.031,10579,40.1408,B,25.787,37.338,10579,29.426,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Male,7898,35.5723,,B-,,85.325,6350,34.4635,C+,14.535,22.583,6350,13.984,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Male,14084,37.8943,,B-,,86.829,11933,35.5775,B-,18.185,27.261,11933,19.04,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Male,7870,37.1746,,B-,,78.208,4858,38.4164,B,20.811,31.721,4858,24.207,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Male,161,35.6068,,B-,,61.491,71,35.3991,B-,18.31,23.944,71,19.718,2021,,2021
202021,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Male,853,34.8591,,C+,,54.396,332,34.8494,C+,18.675,26.205,332,25.301,2021,,2021
201920,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,All students,57963,36.596,,B-,,81.766,46798,34.6814,C+,14.071,22.903,46797,13.764,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,All students,34836,46.4127,,A-,,91.698,27577,46.3676,A-,42.742,57.878,27577,44.874,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All schools,All schools,All students,215072,40.2177,,B,,86.957,167191,40.1953,B,24.925,36.623,167191,27.257,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,All students,271601,39.509,,B,,86.293,214818,38.9049,B,22.468,33.498,214817,24.217,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,All students,180199,38.9446,,B,,86.048,139592,38.9772,B,21.407,32.427,139592,23.778,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,All students,236929,38.4193,,B,,85.44,187096,37.8167,B-,19.492,29.925,187095,21.186,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,All students,123141,39.4346,,B,,88.062,98678,39.3396,B,22.199,33.495,98678,24.483,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,All students,1903,36.9771,,B-,,92.328,1698,36.8689,B-,16.667,25.677,1698,21.143,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,All students,3216,41.1184,,B,,90.236,2833,39.4623,B,26.685,37.063,2833,30.851,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,All students,34786,46.4202,,A-,,91.773,27554,46.3841,A-,42.763,57.912,27554,44.897,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,All students,50,36.8182,,B-,,40,23,26.6667,C-,17.391,17.391,23,17.391,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,All students,31944,38.5038,,B,,84.473,24198,38.701,B,20.791,31.482,24198,23.01,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,All students,23304,34.0458,,C+,,75.378,16653,33.8007,C+,11.385,19.054,16652,10.035,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,All students,34659,38.2146,,B-,,86.061,30145,35.1679,B-,15.555,25.029,30145,15.824,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,All students,18103,36.1329,,B-,,76.971,11336,36.956,B-,15.623,25.476,11336,17.996,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,All students,271,36.7416,,B-,,52.768,95,34.6667,C+,13.684,28.421,95,21.053,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,All students,1185,33.4449,,C+,,53.671,471,32.9582,C+,14.013,23.567,471,22.081,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Female,34266,37.3959,,B-,,82.041,27528,35.5051,B-,14.182,23.997,27528,12.689,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Female,17629,47.3903,,A-,,93.397,14514,47.3612,A-,45.501,61.685,14514,46.693,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All schools,All schools,Female,117004,40.9614,,B,,87.824,91979,40.8917,B,25.387,38.011,91979,26.446,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Female,150512,40.2158,,B,,86.937,119905,39.5807,B,22.736,34.675,119905,23.207,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Female,99357,39.7296,,B,,86.841,77452,39.6815,B,21.621,33.58,77452,22.655,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Female,132972,39.177,,B,,86.023,105312,38.52,B,19.61,30.972,105312,19.982,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Female,67815,40.2016,,B,,88.691,54543,40.0727,B,22.441,34.738,54543,23.389,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Female,983,38.1909,,B-,,92.777,885,38.0753,B-,18.079,28.701,885,23.164,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Female,1827,41.4719,,B,,89.929,1597,39.5909,B,25.798,36.631,1597,27.865,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Female,17622,47.3913,,A-,,93.417,14510,47.3671,A-,45.507,61.695,14510,46.699,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Female,7,42.7273,,B+,,42.857,4,25.8333,C-,25,25,4,25,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Female,17807,39.3147,,B,,85.309,13575,39.4092,B,21.142,32.788,13575,21.989,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Female,14195,34.8011,,C+,,76.245,10209,34.4738,C+,11.451,19.649,10209,8.796,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Female,20071,39.1414,,B,,86.139,17319,36.1129,B-,15.792,26.56,17319,14.984,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Female,10174,36.9905,,B-,,78.534,6492,37.5288,B-,15.588,25.893,6492,16.651,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Studio schools,State-funded schools,Female,140,39.2308,,B,,60.714,54,38.8889,B,18.519,38.889,54,27.778,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,University technical colleges (UTCs),State-funded schools,Female,351,34.4081,,C+,,50.142,143,32.0746,C+,11.888,20.979,143,18.881,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All FE sector colleges,FE sector colleges,Male,23697,35.4471,,B-,,81.369,19270,33.5048,C+,13.913,21.339,19269,15.299,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All independent schools,Independent schools,Male,17203,45.3796,,A-,,89.973,13063,45.2637,A-,39.677,53.648,13063,42.854,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All schools,All schools,Male,98064,39.3276,,B,,85.926,75212,39.3436,B,24.36,34.925,75212,28.248,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All schools and FE sector colleges,All institutions,Male,121086,38.6311,,B,,85.494,94913,38.0511,B-,22.129,32.01,94912,25.493,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All state-funded schools,State-funded schools,Male,80842,37.9805,,B-,,85.072,62140,38.0993,B-,21.139,30.99,62140,25.177,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,All state-funded schools and colleges,All state-funded,Male,103957,37.4539,,B-,,84.695,81784,36.9111,B-,19.34,28.576,81783,22.737,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Converter academies - mainstream,State-funded schools,Male,55326,38.4983,,B,,87.292,44135,38.4336,B,21.901,31.959,44135,25.834,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Free schools,State-funded schools,Male,920,35.676,,B-,,91.848,813,35.5556,B-,15.129,22.386,813,18.942,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Free schools 16-19,State-funded schools,Male,1389,40.6693,,B,,90.641,1236,39.2961,B,27.832,37.621,1236,34.709,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Independent schools,Independent schools,Male,17160,45.3928,,A-,,90.099,13044,45.2906,A-,39.712,53.703,13044,42.893,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Independent special schools,Independent schools,Male,43,35.8333,,B-,,39.535,19,26.8421,C-,15.789,15.789,19,15.789,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,LA maintained mainstream schools,State-funded schools,Male,14137,37.4814,,B-,,83.419,10623,37.796,B-,20.343,29.813,10623,24.315,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Other FE sector colleges,FE sector colleges,Male,9109,32.861,,C+,,74.026,6444,32.7343,C+,11.282,18.11,6443,11.998,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Sixth form colleges,FE sector colleges,Male,14588,36.9547,,B-,,85.954,12826,33.8918,C+,15.235,22.961,12826,16.958,2020,,2020
201920,Academic year,National,E92000001,England,Provisional,Sponsored academies - mainstream,State-funded schools,Male,7929,35.0113,,B-,,74.965,4844,36.1884,B-,15.669,24.917,4844,19.798,2020,,2020
